,viajes,toneladas,ton_prom,placas_activas,clientes_activos,corredores_activos,viajes_propia,viajes_terceros,dow,mes,trimestre,festivo,habil,fin_de_semana,fin_de_mes,t,lag7,lag14,roll7_mean,roll30_mean,sin7,cos7
trimestre,0.10907053183849742,0.11872930225014164,0.10020273063659929,0.1023508099216707,0.1766968030413699,0.14961740851341665,0.05098642941347168,0.11332371088260508,-0.008148136282023391,0.9638527702251386,1.0,0.025378156062681935,0.0007387945977125385,-0.009306474993926308,-0.008773077973992792,-0.0002846148393933523,0.17829306075390192,0.1672559447992151,0.24374379559851733,0.40120285630565605,0.017452399029572165,0.0016115999927596967
festivo,-0.33256057714373716,-0.3315620000445253,0.025119270762843305,-0.3319476748796981,-0.2766738725788612,-0.3352462853392082,-0.3089916493643834,-0.32721036932854775,-0.17746940456772417,0.030179723824039953,0.025378156062681935,1.0,-0.32093916024611996,-0.1240353598135956,-0.01528701216305729,0.03625589326853738,0.06162426095930771,0.013673660341283549,-0.01296184279716251,0.015158208909645952,0.0059385676061760465,0.11345789689694237
habil,0.6646915701546612,0.6244884879663771,-0.03090123714741924,0.5992124198561227,0.43915975066286417,0.6014159857036195,0.593791443213444,0.6432194053822803,-0.6714615314374816,-0.006152450857625639,0.0007387945977125385,-0.32093916024611996,1.0,-0.89556786926448,-0.01340982054249596,-0.01712325434590938,0.48779874593422484,0.5113581647458422,0.004394230115968177,0.07396465881929563,0.7521503435720854,-0.04783468805991785
fin_de_semana,-0.5399470090854789,-0.49916600813613005,0.01300758327390567,-0.4719445399894061,-0.33153311736318997,-0.4732283246184588,-0.47839000645682134,-0.5199056809343282,0.7914992899067086,-0.005450358137982045,-0.009306474993926308,-0.1240353598135956,-0.89556786926448,1.0,0.01983845538681145,-0.0021580763158979862,-0.5440712229708213,-0.5458895375020205,0.0,-0.09018115181272096,-0.7914992899067086,-0.002180438815169996
fin_de_mes,0.16211686249805593,0.1828860392944781,0.1729112467933914,0.1604052104096664,-0.001948550426583705,0.10824191252901327,0.18729260138885423,0.10217801689607613,0.02251837460581474,-0.009127063088684424,-0.008773077973992792,-0.01528701216305729,-0.01340982054249596,0.01983845538681145,1.0,0.02311123798242857,-0.04063498621597047,0.02941305899573424,-0.03364279346632853,0.004497571080220515,-0.028142344287586652,-0.010460583608095759
t,0.10539380024943486,0.04943886376851686,-0.03202166469050377,0.10025137805092509,0.5493533808780439,0.2062285523332322,-0.06495452930948147,0.20608156354488688,-0.005110878337123389,0.011527256993923837,-0.0002846148393933523,0.03625589326853738,-0.01712325434590938,-0.0021580763158979862,0.02311123798242857,1.0,0.1128716030093135,0.09954191999811925,0.12532597433526688,0.3003937606708553,0.0039162039750628855,0.006345822621500539
lag7,0.465674543133873,0.40678548129526215,-0.11009273872956034,0.4684413696757755,0.4044866678802543,0.4692235587785599,0.28935827466896547,0.5087361390075571,-0.4821846546856907,0.1932512037819001,0.17829306075390192,0.06162426095930771,0.48779874593422484,-0.5440712229708213,-0.04063498621597047,0.1128716030093135,1.0,0.46255740056957195,0.3471035250906977,0.33981798401455754,0.5179302050865002,-0.03748221336892947
lag14,0.49803248463830435,0.4445381088146033,-0.08431344440142453,0.47347452443667426,0.36532157914154023,0.47723027335272683,0.3412016990645709,0.5120370739914736,-0.48091412342069256,0.18484848263047718,0.1672559447992151,0.013673660341283549,0.5113581647458422,-0.5458895375020205,0.02941305899573424,0.09954191999811925,0.46255740056957195,1.0,0.1436798961068929,0.3879635796909242,0.5222553753076279,-0.04163613575552451
roll7_mean,0.07152879360129841,0.026567515370037896,-0.0757535108412354,0.100684058700277,0.1534339547116668,0.12310018752478938,-0.06882476923614826,0.12431695712376004,-0.0012926650556342133,0.2958566446852314,0.24374379559851733,-0.01296184279716251,0.004394230115968177,0.0,-0.03364279346632853,0.12532597433526688,0.3471035250906977,0.1436798961068929,1.0,0.5159981066046039,0.001883936520118548,0.0009051804362796449
roll30_mean,0.2094013575181421,0.15988067290456376,-0.023098809072273657,0.21945938938203743,0.3020298473133504,0.2505411795092301,0.06790511419705833,0.23117812076835637,-0.01827161491647655,0.47187349242981697,0.40120285630565605,0.015158208909645952,0.07396465881929563,-0.09018115181272096,0.004497571080220515,0.3003937606708553,0.33981798401455754,0.3879635796909242,0.5159981066046039,1.0,0.1101451316749752,-0.12908099468275935
sin7,0.5216204553714145,0.42702391117403043,-0.14312822213816578,0.45419310901319476,0.26901321119277943,0.4078755154337994,0.33998111428691086,0.518649966601837,-0.7150946014762211,0.012590494595827612,0.017452399029572165,0.0059385676061760465,0.7521503435720854,-0.7914992899067086,-0.028142344287586652,0.0039162039750628855,0.5179302050865002,0.5222553753076279,0.001883936520118548,0.1101451316749752,1.0,0.2163372334221454
cos7,-0.03656544348923431,-0.05906595452817173,0.025704346578992402,-0.05728425226761827,-0.10098867946620084,-0.11189452928114041,-0.0887021388183809,-0.058345468390264096,-0.5358945714531483,0.013330598431906298,0.0016115999927596967,0.11345789689694237,-0.04783468805991785,-0.002180438815169996,-0.010460583608095759,0.006345822621500539,-0.03748221336892947,-0.04163613575552451,0.0009051804362796449,-0.12908099468275935,0.2163372334221454,1.0
