,viajes,toneladas,ton_prom,placas_activas,clientes_activos,corredores_activos,viajes_propia,viajes_terceros,dow,mes,trimestre,festivo,habil,fin_de_semana,fin_de_mes,t,lag7,lag14,roll7_mean,roll30_mean,sin7,cos7
trimestre,0.0841130644512966,0.09171267392902228,0.07582643750086653,0.0798260088647656,0.14938834965026945,0.1173373984502089,0.03917800385915715,0.08820125401682695,-0.0065285337235348444,0.8956381517690278,1.0,0.023299640991836502,0.0006782860366566483,-0.008544258523842949,-0.008054547646509296,0.10236387919670252,0.13702800624913505,0.12777682871246462,0.18837658767994103,0.3039428814093686,0.013995299838475896,0.0012900695381835323
festivo,-0.2724079367358739,-0.2709850413701151,0.020529935957504523,-0.2721094623751753,-0.2371729440428314,-0.2754402837380157,-0.2566102958070853,-0.26811678811938555,-0.15490830796682475,0.025746980966150978,0.023299640991836502,1.0,-0.32093916024612,-0.12403535981359559,-0.01528701216305729,0.02963187800762968,0.05047841249561667,0.011200444260153363,-0.010599594845549284,0.012392205577341267,0.005183617209175186,0.09903437089108381
habil,0.5444639913326224,0.5103933464148603,-0.02525552694716714,0.49119599790740875,0.37646059600419673,0.4941268464143353,0.4931298247190804,0.5270551828203073,-0.5861008546974641,-0.005248790083370011,0.0006782860366566483,-0.32093916024612,1.0,-0.8955678692644801,-0.01340982054249596,-0.013994805757879774,0.39957162858913314,0.4188665271959278,0.00359339791542372,0.06046791299751443,0.6565319658519201,-0.041753622871118716
fin_de_semana,-0.4422828825802433,-0.4079675033543035,0.010631075005975335,-0.38686993392545344,-0.28419989484302666,-0.38880712391454997,-0.3972916462971201,-0.42601168655865235,0.6908786111895832,-0.004649819463409017,-0.008544258523842949,-0.12403535981359559,-0.8955678692644801,1.0,0.019838455386811452,-0.0017637919896277261,-0.44566622288989294,-0.4471520561712546,0.0,-0.07372529163082782,-0.6908786111895832,-0.0019032468627812205
fin_de_mes,0.13279361132483666,0.14947243929514042,0.14132005887095941,0.13148992708736307,-0.001670354475401526,0.08893218031982181,0.15554209941834202,0.0837248579951836,0.019655688352854705,-0.007786496688681757,-0.008054547646509296,-0.01528701216305729,-0.01340982054249596,0.019838455386811452,1.0,0.018888774286383705,-0.03328542304658088,0.02409298750881501,-0.02751151867801071,0.0036768740790563,-0.024564701427993243,-0.00913076431975768
t,0.07347590307604729,0.03613693671395202,-0.02249276797178349,0.07270207325261248,0.43536925149002365,0.1434735244293785,-0.04391307226968965,0.14584715572825302,-0.0006176294236738171,0.19479980779131367,0.10236387919670252,0.02963187800762968,-0.013994805757879774,-0.0017637919896277261,0.018888774286383705,1.0,0.0790196886303536,0.07084816278874968,0.08744443714137828,0.1939342434993968,0.003054761744116447,0.004273327904337762
lag7,0.33969814108482227,0.28836410850419536,-0.07878711817426505,0.33978735054788967,0.29541186058167207,0.3428111252897143,0.2023073120826198,0.375942441988964,-0.37158622053251716,0.13785807644434306,0.13702800624913505,0.05047841249561667,0.39957162858913314,-0.44566622288989294,-0.03328542304658088,0.0790196886303536,1.0,0.33649049743832454,0.24031806385757395,0.22774990285489002,0.36129691276000486,-0.03648939878349482
lag14,0.3543104888394186,0.309215523487784,-0.060847710879625365,0.3350104001322016,0.26608699442056283,0.34066512941718924,0.23667516576101558,0.3691852321070642,-0.3699019229599351,0.1326454966726142,0.12777682871246462,0.011200444260153363,0.4188665271959278,-0.4471520561712546,0.02409298750881501,0.07084816278874968,0.33649049743832454,1.0,0.10231007144232131,0.2611387857005706,0.3646820220140295,-0.038906665543921345
roll7_mean,0.04684216233195152,0.018457826584847088,-0.050172783962081205,0.0673090903265353,0.10485950723843057,0.08224985598238606,-0.04788912177359797,0.08213210974899614,-0.001302760352647401,0.21387735061960292,0.18837658767994103,-0.010599594845549284,0.00359339791542372,0.0,-0.02751151867801071,0.08744443714137828,0.24031806385757395,0.10231007144232131,1.0,0.3568346023113645,0.0015532911896949779,0.0011691439062220265
roll30_mean,0.14019987241314877,0.10511412399995235,-0.015071567315759395,0.1477727593120111,0.20198649868147836,0.16817136531141902,0.04591618687672506,0.154637793262085,-0.014610170039344913,0.34404961882951357,0.3039428814093686,0.012392205577341267,0.06046791299751443,-0.07372529163082782,0.0036768740790563,0.1939342434993968,0.22774990285489002,0.2611387857005706,0.3568346023113645,1.0,0.07782628863244187,-0.09185205187021298
sin7,0.36396956382720463,0.2935242104292,-0.10791822227165482,0.32059890090775384,0.19457762042591417,0.2829590562347935,0.23114443345477467,0.36217081323064704,-0.5240016571500622,0.009401043360589442,0.013995299838475896,0.005183617209175186,0.6565319658519201,-0.6908786111895832,-0.024564701427993243,0.003054761744116447,0.36129691276000486,0.3646820220140295,0.0015532911896949779,0.07782628863244187,1.0,0.1439919303996974
cos7,-0.03535130721061289,-0.05096277379665307,0.015457428278971747,-0.04776836558856391,-0.08050455312878835,-0.0862697445849741,-0.07316588460636465,-0.04686128821838317,-0.4280130410504891,0.009891228116821294,0.0012900695381835323,0.09903437089108381,-0.041753622871118716,-0.0019032468627812205,-0.00913076431975768,0.004273327904337762,-0.03648939878349482,-0.038906665543921345,0.0011691439062220265,-0.09185205187021298,0.1439919303996974,1.0
