corredor,viajes,toneladas,ton_prom,cv_mensual_%,tendencia_mes,crecimiento_%
SOPO -> GACHETA,86,1459.4,16.969767441860466,35.6,0.06,22.6
SONSON -> RIONEGRO,85,2890.2,34.00235294117647,95.2,0.47,179.2
GIRARDOTA -> FUNZA,85,1469.664,17.290164705882354,74.7,-0.24,-91.5
CALDAS -> COPACABANA,85,208.39600000000002,2.451717647058824,33.1,-0.14,-53.4
SOPO -> ZIPAQUIRA,84,751.631,8.947988095238095,48.2,-0.0,-0.0
SONSON -> SABANETA,84,2831.0,33.70238095238095,76.4,0.34,131.1
YUMBO -> MADRID,84,1262.5,15.029761904761905,47.6,0.09,34.7
CALDAS -> CALDAS,83,1835.2369999999999,22.111289156626505,81.2,0.28,109.3
SOPO -> VALLEDUPAR,82,2366.666,28.86178048780488,40.7,-0.08,-31.6
RIONEGRO -> CARTAGO,82,1034.7549999999999,12.618963414634145,32.1,-0.04,-15.8
SABANETA -> MADRID,82,1662.49,20.274268292682926,94.4,-0.64,-252.9
GIRARDOTA -> MAGANGUE,82,448.984,5.475414634146341,44.0,-0.15,-59.3
RIONEGRO -> TURBO,82,1290.74,15.740731707317073,35.5,-0.06,-23.7
YUMBO -> SOPO,82,1681.0,20.5,50.1,0.05,19.8
BUENAVENTURA -> PUERTO TEJADA,81,2673.0,33.0,266.7,1.33,532.0
CALI -> CALI,81,348.71500000000003,4.305123456790124,110.8,0.79,316.0
SOPO -> QUIBDO,79,2530.588,32.03275949367089,31.4,0.12,49.2
GIRARDOTA -> MAICAO,79,769.345,9.738544303797468,56.4,-0.02,-8.2
MADRID -> MARIQUITA,79,678.145,8.584113924050632,57.0,-0.15,-61.5
MADRID -> TUNJA,78,534.371,6.850910256410256,71.2,0.42,174.5
CALDAS -> MOSQUERA,78,871.374,11.17146153846154,35.4,0.03,12.5
PUERTO TEJADA -> CALI,77,772.509,10.032584415584417,86.7,0.18,75.7
YUMBO -> IPIALES,77,2036.659,26.450116883116884,28.7,-0.02,-8.4
COELLO -> MAICAO,76,2282.28,30.03,98.7,-0.48,-204.6
